Tag,QuestionsInDateRange
"c#","5598"
"java","3772"
"php","3559"
"javascript","2920"
"jquery","2691"
"iphone","2612"
".net","2446"
"c++","2412"
"asp.net","2236"
"python","1759"
"mysql","1553"
"html","1392"
"android","1374"
"sql","1276"
"c","1140"
"objective-c","1137"
"ruby-on-rails","1115"
"css","1080"
"asp.net-mvc","885"
"wpf","853"
"sql-server","786"
"ruby","734"
"xml","646"
"regex","626"
"vb.net","584"
"django","570"
"windows","570"
"ajax","556"
"database","542"
"winforms","519"
"arrays","491"
"silverlight","465"
"visual-studio","450"
"string","444"
"multithreading","440"
"linux","437"
"performance","433"
"flash","424"
"cocoa-touch","423"
"flex","421"
"actionscript-3","418"
"visual-studio-2010","397"
"cocoa","389"
"wcf","381"
"visual-studio-2008","375"
"web-services","365"
"algorithm","363"
"eclipse","360"
"perl","359"
"linq","350"
"image","338"
"ipad","321"
"osx","308"
"json","306"
"forms","294"
"security","292"
"xcode","290"
"oop","286"
"oracle","282"
"google-app-engine","280"
"sql-server-2005","273"
"nhibernate","271"
"user-interface","270"
"delphi","266"
"tsql","260"
"file","258"
"facebook","254"
"linq-to-sql","249"
"unit-testing","247"
"uitableview","245"
"validation","245"
"sharepoint","244"
"hibernate","243"
"debugging","242"
"internet-explorer","239"
"qt","236"
"asp.net-mvc-2","235"
"entity-framework","234"
"svn","233"
"git","228"
"swing","228"
"apache","228"
"parsing","218"
"email","213"
"winapi","212"
"sql-server-2008","211"
"visual-c++","209"
"jquery-ui","209"
"excel","205"
"wordpress","203"
"http","201"
"function","200"
"design-patterns","198"
"bash","198"
"spring","196"
"class","190"
"drupal","190"
"exception","185"
"matlab","184"
"events","182"
"sockets","177"
"session","176"
"templates","174"
"design","167"
"list","165"
"data-binding","164"
"gwt","163"
"zend-framework","163"
"math","161"
"generics","160"
"orm","159"
"r","158"
"sqlite","158"
"google-maps","157"
"datetime","157"
"iphone-sdk-3.0","157"
"scala","156"
"pointers","155"
"api","154"
"variables","154"
"unix","153"
"database-design","151"
"firefox","151"
".htaccess","150"
"codeigniter","150"
".net-4.0","148"
"xhtml","147"
"url","146"
"model-view-controller","146"
"gcc","144"
"testing","144"
"authentication","143"
"jsf","140"
"caching","140"
"dll","139"
"reflection","139"
"postgresql","138"
"xaml","138"
"dom","137"
"shell","136"
"language-agnostic","136"
".net-3.5","135"
"web-applications","135"
"rest","134"
"serialization","134"
"memory-management","133"
"xslt","133"
"iis","133"
"jsp","133"
"maven-2","132"
"sorting","132"
"optimization","131"
"select","128"
"ms-access","128"
"latex","128"
"table","127"
"scripting","126"
"architecture","125"
"assembly","124"
"listview","123"
"deployment","122"
"tomcat","122"
"object","122"
"memory","120"
"inheritance","119"
"servlets","119"
"browser","119"
"networking","119"
"mercurial","118"
"mod-rewrite","118"
"boost","117"
"data-structures","117"
"date","117"
"search","117"
"vba","116"
"audio","115"
"logging","115"
"unicode","114"
"file-io","114"
"core-data","114"
"binding","114"
"version-control","112"
"emacs","112"
"syntax","111"
"grails","110"
"jpa","109"
"types","109"
"cookies","109"
"soap","108"
"activerecord","108"
"compiler-construction","107"
"pdf","107"
"stl","107"
"dynamic","106"
"actionscript","105"
"html5","105"
"cakephp","103"
"vim","103"
"redirect","102"
"programming-languages","102"
"layout","101"
"opengl","101"
"curl","101"
"image-processing","99"
"animation","99"
"plugins","98"
"encryption","97"
"jquery-plugins","97"
"netbeans","97"
"blackberry","97"
"mvvm","96"
"join","96"
"loops","96"
"interface","95"
"text","95"
"silverlight-4.0","95"
"c#-3.0","95"
"iis-7","94"
"stored-procedures","94"
"encoding","94"
"javascript-events","94"
"java-ee","94"
"graphics","94"
"com","92"
"exception-handling","92"
"mfc","90"
"graph","90"
"twitter","89"
"properties","87"
"video","86"
"hash","86"
"windows-7","86"
"google-chrome","86"
"user-controls","86"
"indexing","86"
"command-line","86"
"uikit","86"
"configuration","85"
"process","85"
"jdbc","85"
"fluent-nhibernate","84"
"xpath","84"
"asp-classic","84"
"tfs","83"
"service","83"
"coding-style","83"
"msbuild","82"
"post","82"
"ant","82"
"ssl","82"
"constructor","82"
"open-source","81"
"reporting-services","81"
"ios","81"
"vector","80"
"haskell","80"
"iframe","80"
"utf-8","79"
"recursion","79"
"mono","79"
"vb6","79"
"sharepoint-2007","78"
"uiview","78"
"drupal-6","78"
"dictionary","78"
"parameters","77"
"localization","77"
"doctrine","76"
"django-models","76"
"gridview","76"
"concurrency","74"
"download","74"
"reference","74"
"memory-leaks","74"
"qt4","73"
"upload","73"
"random","73"
"header","73"
"jquery-selectors","72"
"ide","72"
"uiviewcontroller","72"
"linker","72"
"installation","72"
"build","72"
"datagridview","72"
"button","72"
"ado.net","72"
"file-upload","71"
"methods","70"
"enums","70"
"formatting","70"
"transactions","70"
"windows-services","70"
"groovy","70"
"drop-down-menu","69"
"windows-mobile","69"
"silverlight-3.0","69"
"time","69"
"frameworks","68"
"visual-studio-2005","68"
"path","68"
"symfony1","68"
"struct","68"
"spring-mvc","68"
"cross-browser","67"
"casting","67"
"autocomplete","67"
"coldfusion","67"
"fonts","67"
"delegates","67"
"namespaces","66"
"input","66"
"powershell","66"
"collections","66"
"xsd","66"
"compilation","65"
"batch-file","65"
"replace","65"
"interop","65"
"jar","65"
"printing","64"
"dependency-injection","64"
"flex3","64"
"c#-4.0","64"
"routing","64"
"website","64"
"air","64"
"colors","64"
"multidimensional-array","63"
"mobile","63"
"import","63"
"character-encoding","63"
"merge","63"
"static","62"
"asp.net-ajax","62"
"asp.net-membership","62"
"linq-to-entities","62"
"charts","61"
"f#","61"
"resources","61"
"jboss","61"
"garbage-collection","61"
"internationalization","61"
"64bit","60"
"floating-point","60"
"insert","60"
"compact-framework","60"
"checkbox","60"
"plsql","60"
"webforms","59"
"uinavigationcontroller","59"
"attributes","59"
"null","59"
"dns","58"
"textbox","58"
"seo","58"
"installer","58"
"java-me","58"
"event-handling","58"
"wix","58"
"count","57"
"scroll","57"
"hyperlink","57"
"csv","57"
"error-handling","57"
"excel-vba","57"
"tcp","57"
"include","57"
"proxy","56"
"documentation","56"
"asynchronous","56"
"ubuntu","56"
"magento","56"
"url-rewriting","55"
"scope","55"
"internet-explorer-8","55"
"ssis","55"
"nsstring","55"
"uiwebview","55"
"interface-builder","55"
"model","54"
"module","54"
"3d","54"
"extjs","53"
"map","53"
"lucene","53"
"wpf-controls","53"
"filter","53"
"opengl-es","53"
"sdk","52"
"safari","52"
"junit","52"
"gtk","52"
"passwords","52"
"openid","52"
"joomla","51"
"combobox","51"
"makefile","51"
"ftp","51"
"rss","51"
"wsdl","51"
"datatable","51"
"sqlite3","51"
"xml-serialization","51"
"listbox","51"
"resize","50"
"webkit","50"
"triggers","50"
"views","50"
"canvas","50"
"dialog","49"
"internet-explorer-7","49"
"web-config","49"
"windows-installer","49"
"menu","49"
"permissions","49"
"linq-to-xml","49"
"oauth","48"
"integer","48"
"login","48"
"lambda","48"
"datagrid","47"
"https","47"
"vbscript","47"
"jqgrid","47"
"eclipse-plugin","47"
"popup","47"
"schema","47"
"crystal-reports","47"
"filesystems","47"
"treeview","47"
"geometry","47"
"linux-kernel","46"
"binary","46"
"android-activity","46"
"directory","46"
"rubygems","46"
"workflow","46"
"view","46"
"awk","45"
"macros","45"
"icons","45"
"ms-word","45"
"synchronization","45"
"django-forms","44"
"for-loop","44"
"load","44"
"prototypejs","44"
"smtp","44"
"g++","44"
"escaping","43"
"uiscrollview","43"
"tfs2010","43"
"entity-framework-4","43"
"jquery-validate","43"
"css3","43"
"datepicker","43"
"callback","43"
"authorization","43"
"refactoring","43"
"automation","43"
"css-selectors","42"
"migration","42"
"tabs","42"
"image-manipulation","42"
"editor","42"
"repository","42"
"uibutton","42"
"flex4","42"
"rotation","42"
"order","42"
"compression","42"
"drag-and-drop","42"
"initialization","41"
"control","41"
"x86","41"
"registry","41"
"activex","41"
"crash","41"
"iterator","41"
"uml","41"
"windows-xp","41"
"foreign-keys","41"
"numpy","41"
"code-generation","40"
"cocos2d-iphone","40"
"singleton","40"
"nosql","40"
"intellij-idea","40"
"dependencies","40"
"tags","40"
"copy","40"
"radio-button","40"
"controls","40"
"content-management-system","40"
"assemblies","40"
"sql-server-2000","40"
"adobe","40"
"dataset","40"
"gdi+","40"
"c++-cli","40"
"vsto","40"
"clojure","40"
"inversion-of-control","39"
"iis-6","39"
"full-text-search","39"
"profiling","39"
"functional-programming","39"
"timer","39"
"tortoisesvn","39"
"mongodb","39"
"azure","39"
"annotations","39"
